input_snr_db,seed,condition,clean_name,noise_type,test_samples,mean_val_snr,model_path,mean_input_snr,std_input_snr_samples,median_input_snr,min_input_snr,max_input_snr,mean_output_snr,std_output_snr_samples,median_output_snr,min_output_snr,max_output_snr,mean_input_correlation,std_input_correlation_samples,median_input_correlation,min_input_correlation,max_input_correlation,mean_output_correlation,std_output_correlation_samples,median_output_correlation,min_output_correlation,max_output_correlation,mean_input_nrmse,std_input_nrmse_samples,median_input_nrmse,min_input_nrmse,max_input_nrmse,mean_output_nrmse,std_output_nrmse_samples,median_output_nrmse,min_output_nrmse,max_output_nrmse,mean_input_spectral_distortion_db,std_input_spectral_distortion_db_samples,median_input_spectral_distortion_db,min_input_spectral_distortion_db,max_input_spectral_distortion_db,mean_output_spectral_distortion_db,std_output_spectral_distortion_db_samples,median_output_spectral_distortion_db,min_output_spectral_distortion_db,max_output_spectral_distortion_db,mean_snr_improvement,mean_correlation_improvement,mean_nrmse_reduction,mean_spectral_distortion_reduction_db
0,7,jian_normal,jian,normal,3752,6.459885107599179,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,5.218275006457011,1.5745548291491105,5.126720193272426,0.26616228897870875,11.992761688991859,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8304988246100251,0.07102374127978492,0.8410089162209151,0.44300897871601774,0.9694852947569738,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5573486908974257,0.09999507812934819,0.5541967692860597,0.25139805618775596,0.9698216708502906,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.301768128185849,0.9880179105576624,8.312206525913084,3.4856817413882974,16.43705998638524,5.21827525221108,0.12442369268390208,0.44265133728034556,11.98470076890268
0,19,jian_normal,jian,normal,3752,6.382729388449752,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed19.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,5.311798963373712,1.7109043543336289,5.184034477972549,-0.20854478756721692,13.488675578581852,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8444792259190165,0.07080715234831485,0.8541749825710495,0.38123623628545145,0.9777482870473602,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5529589414456199,0.10745988263983135,0.5505519081407364,0.21162463440520374,1.0243001578133168,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.504991004620997,1.1659258063825166,8.536674998357999,2.550833007752293,15.034949294195851,5.311799209127781,0.13840409399289344,0.44704108673215137,11.781477892467532
0,42,jian_normal,jian,normal,3752,6.028628191168146,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed42.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,4.868143317383828,1.6229163333744216,4.765652583770423,-0.9646250227911528,12.257535516711425,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.831450104384942,0.07303202894041,0.8409100442580881,0.35818527552476975,0.9723733068656933,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5808685790578259,0.10771912314247564,0.5777199527874239,0.24385026056856557,1.1174581161075376,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.62246745167492,1.2989103752764177,8.712931208703157,2.7135898413926687,15.194693651915111,4.868143563137897,0.125374972458819,0.4191314491199454,11.664001445413609
0,66,jian_normal,jian,normal,3752,6.436677491319527,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed66.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,4.573735706397092,1.8410365595725449,4.43033523564621,-2.5714344020092934,13.042002833119682,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8194354182621427,0.08458418422974955,0.8318554851075529,0.0725988682030574,0.9776321985163331,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.6036879199517873,0.12463177165797651,0.6004588254355743,0.22279213644587995,1.344533798152152,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,9.029126518266807,1.5173299854269866,8.943076113740847,3.018495215244375,15.599034438196938,4.573735952151161,0.11336028633601969,0.39631210822598395,11.257342378821722
0,88,jian_normal,jian,normal,3752,6.274570806361655,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed88.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,4.610472836806037,1.7567275592595586,4.474236708025819,-0.5988087672428937,13.164059638841634,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8404719811428174,0.06966114687570799,0.8509591293153727,0.4060537579405375,0.9759512900440729,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5999561749594112,0.117868909690477,0.5974315623753027,0.21968328689886327,1.0713723664517218,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.634701641159726,1.6067152677546122,8.61616531555282,2.3990099530841436,16.756259586861436,4.610473082560105,0.13439684921669437,0.40004385321836,11.651767255928803
0,100,jian_normal,jian,normal,3752,6.228789360709719,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed100.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,4.95728704076644,1.5956273493476145,4.867897137463764,-0.831613689479483,10.477482824121942,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8159965898296536,0.07630740736815173,0.8264815326571461,0.20746600416251482,0.9646740705152983,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5745881793316937,0.10410347288495961,0.5709592858726572,0.2993131921105666,1.100476279420516,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.069044677333377,1.1239121564482204,8.0924780808785,2.8331736246538846,16.08425630514079,4.957287286520509,0.10992145790353058,0.4254118488460775,12.217424219755152
0,123,jian_normal,jian,normal,3752,5.683535082754735,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed123.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,3.8245236335161272,1.8354913376668398,3.779624882802575,-1.971990658270778,12.377091243448504,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8174254449060318,0.07684264457926117,0.8282280109536038,0.21751131127801984,0.971800043304953,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.6581418366995133,0.13757679804897963,0.6471705589625639,0.24051681140550887,1.25487230888087,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.206423107931164,1.2159414751832411,8.168311685540434,3.586382093059039,16.498908101797884,3.8245238792701954,0.11135031297990872,0.3418581914782579,12.080045789157365
0,256,jian_normal,jian,normal,3752,5.6245380882175935,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed256.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,3.463925763871138,1.9291283242314299,3.325654661918666,-1.9019641974751886,10.470365790033691,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.814841847441676,0.07896273674214131,0.8253740310429576,0.25675488907456073,0.9707850648610007,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.6874435898243871,0.14846820966460733,0.6818946190931953,0.2995585434306015,1.2447960975693901,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.328658591592655,1.2076788928443052,8.271495218357952,2.819472206400943,16.30634534271068,3.4639260096252062,0.10876671551555295,0.3125564383533841,11.957810305495874
0,512,jian_normal,jian,normal,3752,6.302389266637169,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed512.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,5.2771343957974075,1.8745760040450996,5.1158790582299325,-0.7139802365750598,12.582126274272058,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8344762900117887,0.07427878869163372,0.8459711413562063,0.2861610472438285,0.9722935188427462,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.5572646979986536,0.11802788368192445,0.5548889049865883,0.23490575825567814,1.0856729391988253,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.496374750529188,1.2843129980732393,8.54195553186241,2.679066198670448,16.181371641433046,5.277134641551476,0.12840115808566566,0.4427353301791176,11.79009414655934
0,2024,jian_normal,jian,normal,3752,5.650538258035647,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed2024.h5,-2.457540682753058e-07,3.9443633033296913e-07,-2.4333248237252313e-07,-1.6711364422333388e-06,9.495533143639075e-07,4.291860404563186,1.6345483941119865,4.24125640728824,-1.003035011939501,10.451124540085372,0.706075131926123,0.037461139250819044,0.7065900912698346,0.5222532638104211,0.8347599005560343,0.8110193830076037,0.07763187364837414,0.8218925924475109,0.36252509476393985,0.9664480502350627,1.0000000281777712,4.541374975178015e-08,1.0000000278983476,0.9999998905277602,1.0000001923472597,0.6208734430139057,0.11579913436142236,0.6136732218705911,0.3002228699904163,1.122410586321473,20.28646889708853,4.698513539211429,20.39416736523939,4.754475788475147,39.893169090682875,8.190027479192743,1.0573321869764434,8.212732917476721,3.7230054832558905,17.749862356252876,4.291860650317255,0.10494425108148064,0.37912658516386555,12.096441417895786
