input_snr_db,seed,blocks,best_epoch,best_val_loss,mean_val_snr,median_val_snr,min_val_snr,max_val_snr,la_normal_mean_snr,jian_normal_mean_snr,la_truck_mean_snr,jian_truck_mean_snr,model_path,history_path,train_samples,val_samples,training_time_seconds,training_time_minutes,training_time_hours,training_time_hms
0,7,7,64,0.0096508478745818,6.459885107599179,6.395937045250806,-0.7556846768105578,14.612505153555624,6.546510122293749,5.831918828593968,6.921783470473938,6.279114397296108,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed7.txt,56518,6280,,,,
0,19,7,86,0.0057820971123874,6.382729388449752,6.276241705063329,0.0755785336469764,13.261356711700786,6.744922060111491,5.562524060833593,6.935411958149343,5.854052465012284,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed19.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed19.txt,56518,6280,,,,
0,42,7,91,0.0059340051375329,6.028628191168146,5.932838471502418,-1.5436069329919813,13.53431940328638,6.594341199991574,5.341628790530968,6.6133491788361285,5.019440036694663,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed42.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed42.txt,56518,6280,,,,
0,66,7,86,0.0069646658375859,6.436677491319527,6.373610509504951,-0.8140762089230171,15.274821193686504,6.718019406681411,5.362607989018311,7.242362833143002,5.908045655406551,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed66.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed66.txt,56518,6280,,,,
0,88,7,98,0.0055671809241175,6.274570806361655,6.20980865798837,-0.3864843155068693,16.00309696967759,6.492687699199295,5.410779309183961,6.988313424078459,5.764438628009509,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed88.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed88.txt,56518,6280,,,,
0,100,7,76,0.0031675526406615,6.228789360709719,6.177301861430768,0.058371199179821,14.039710961577462,6.225799377571645,5.504470491844309,6.741549508652152,6.201508561845454,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed100.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed100.txt,56518,6280,,,,
0,123,7,56,0.0035468393471091,5.683535082754735,5.696123457219104,-1.7363897651118978,14.666955828177832,6.339093634353577,4.468379092902929,6.707820227484139,4.421947529793186,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed123.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed123.txt,56518,6280,,,,
0,256,7,73,0.005694027990102768,5.6245380882175935,5.671491985867911,-1.2180496500296454,13.875590987765863,6.238190606527931,4.100765936345581,6.672100782674675,4.699032333795007,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed256.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed256.txt,56518,6280,1037.8698935508728,17.297831559181212,0.28829719265302023,00:17:17
0,512,7,67,0.005673079285770655,6.302389266637169,6.250138906721249,-0.7506868097282039,14.5705768705953,6.372776765856158,5.6634931050887225,6.80398028544073,6.097966431164183,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed512.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed512.txt,56518,6280,1047.9596524238586,17.46599420706431,0.29109990345107184,00:17:27
0,2024,7,49,0.0028383070603013,5.650538258035647,5.567256189847802,-2.7538249524846043,15.406111852568872,5.968415681560905,4.802142890485514,6.341525718373083,5.01147405292455,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed2024.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_0dB_seed2024.txt,56518,6280,,,,
5,7,7,63,0.004382886458188295,9.369459245277591,9.275933072240765,0.9853510359321354,18.44192487770946,9.712202796353802,8.93129150408099,9.844037734318302,8.602576129847908,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed7.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed7.txt,56518,6280,1046.8972992897034,17.448288321495056,0.29080480535825093,00:17:26
5,19,7,97,0.0028816782869398594,9.63329672871563,9.563132054012684,2.8315776570853273,17.07923519794527,9.983667043338555,9.06833760153379,9.94366924076429,9.224063713499884,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_5dB_seed19.h5,D:\wangshuo\paper4_2\unet_7block_combined_models\training_curve_7block_combined_5dB_seed19.txt,56518,6280,1046.253664970398,17.437561082839967,0.2906260180473328,00:17:26
