input_snr_db,condition,clean_name,noise_type,metric,model_count,input_mean,input_std_models,output_mean,output_std_models,output_median,output_min,output_max
0,la_normal,la,normal,snr,10,-2.5125202740618943e-07,5.580319513601782e-23,5.588507216068191,0.26575748325784454,5.599549200590404,5.1288825846832165,6.007164201306844
0,la_normal,la,normal,correlation,10,0.7072192973571187,0.0,0.8396257832717696,0.01129596176816196,0.8408025414978566,0.8194782605069634,0.8562687833336518
0,la_normal,la,normal,nrmse,10,1.0000000288972903,0.0,0.5374304611076219,0.016777229356126196,0.5369042503787076,0.5112260508170828,0.5665403500185794
0,la_normal,la,normal,spectral_distortion_db,10,23.617234541424438,0.0,8.18282436778036,0.18672360519521292,8.152818860081469,7.91140550314865,8.516948159655367
0,la_truck,la,truck,snr,10,-1.3117604336936008e-07,0.0,5.744511254922239,0.2523651022167204,5.669222803438073,5.270370006248588,6.135449050988927
0,la_truck,la,truck,correlation,10,0.7103640614495302,0.0,0.8322009895229641,0.009091015065428027,0.8321692237661638,0.8130477914267421,0.8453134938121497
0,la_truck,la,truck,nrmse,10,1.0000000150730313,0.0,0.5354386109043325,0.01468369636642893,0.539227088514542,0.5140675487354115,0.562858748039276
0,la_truck,la,truck,spectral_distortion_db,10,20.75621800542309,3.744889033148481e-15,7.954480131935067,0.142093322260057,7.914735657633376,7.728906834341664,8.173778104838345
0,jian_normal,jian,normal,snr,10,-2.457540682753058e-07,0.0,4.639715706893198,0.6252992173471126,4.7393080770949325,3.463925763871138,5.311798963373712
0,jian_normal,jian,normal,correlation,10,0.7060751319261229,1.1702778228589004e-16,0.8260095109515697,0.011729913681130714,0.8249671214360839,0.8110193830076037,0.8444792259190165
0,jian_normal,jian,normal,nrmse,10,1.0000000281777712,0.0,0.5993132053180223,0.04514361563874343,0.5904123770086185,0.5529589414456199,0.6874435898243871
0,jian_normal,jian,normal,spectral_distortion_db,10,20.28646889708853,0.0,8.438358335048742,0.2812285317733008,8.41251667106092,8.069044677333377,9.029126518266807
0,jian_truck,jian,truck,snr,10,-1.1738352646880399e-07,0.0,4.801230483877236,0.6815694353182615,4.899963271587794,3.6146206016352345,5.621447689765766
