input_snr_db,condition,method,mean_input_snr,mean_output_snr,mean_snr_gain,median_output_snr,std_output_snr
0,la_normal,non_denoised,-8.24399661833906e-09,-8.24399661833906e-09,0.0,-1.0173892731856608e-08,2.4677687874783024e-07
0,la_normal,wavelet,-8.24399661833906e-09,2.232067681650128,2.2320676898941247,2.243673591168098,0.9853382038051003
0,la_normal,proposed,-8.24399661833906e-09,5.729441093076951,5.729441101320948,5.66570364157258,1.7703508039700955
0,la_truck,non_denoised,7.991037199339585e-10,7.991037199339585e-10,0.0,5.712762700843705e-10,2.388719629459776e-07
0,la_truck,wavelet,7.991037199339585e-10,0.5482306751570792,0.5482306743579756,0.37120614417301423,0.5927314554306502
0,la_truck,proposed,7.991037199339585e-10,5.997404116116924,5.99740411531782,6.042368939373054,2.461735131497405
0,jian_normal,non_denoised,-7.992044505872278e-09,-7.992044505872278e-09,0.0,-1.1805313496241005e-08,2.434043763131205e-07
0,jian_normal,wavelet,-7.992044505872278e-09,2.740565739478975,2.7405657474710194,2.9120458322022005,1.0439240531223108
0,jian_normal,proposed,-7.992044505872278e-09,5.207052413844835,5.207052421836879,5.103139606522261,1.5598824801022197
0,jian_truck,non_denoised,-3.0534461801870526e-10,-3.0534461801870526e-10,0.0,-8.035299599722144e-10,2.338677013759539e-07
0,jian_truck,wavelet,-3.0534461801870526e-10,0.7039756485539993,0.7039756488593439,0.5376718844999391,0.6369903683271384
0,jian_truck,proposed,-3.0534461801870526e-10,5.426421090115802,5.4264210904211465,5.42649325909265,1.5762765254225966
5,la_normal,non_denoised,4.999999995839558,4.999999995839558,0.0,4.999999993660311,2.474469091429606e-07
5,la_normal,wavelet,4.999999995839558,6.438393541076785,1.4383935452372265,6.279471398672322,0.8936556627342
5,la_normal,proposed,4.999999995839558,9.27660584427813,4.276605848438572,9.217552884911278,1.6549818326801033
5,la_truck,non_denoised,4.999999999029473,4.999999999029473,0.0,4.999999999179132,2.3281567946567832e-07
5,la_truck,wavelet,4.999999999029473,5.3069065138703735,0.30690651484090026,5.169134180249989,0.4522355406010756
5,la_truck,proposed,4.999999999029473,8.905829033143679,3.9058290341142055,8.812026074076435,2.0597124368641113
5,jian_normal,non_denoised,5.000000000023414,5.000000000023414,0.0,5.000000001985977,2.468388930364889e-07
5,jian_normal,wavelet,5.000000000023414,7.014595453465963,2.014595453442549,7.009788764317586,0.9465973602396546
5,jian_normal,proposed,5.000000000023414,8.534659996313254,3.5346599962898395,8.419122839498177,1.7919234642466322
5,jian_truck,non_denoised,4.9999999896965575,4.9999999896965575,0.0,4.999999980316618,2.389941506827913e-07
5,jian_truck,wavelet,4.9999999896965575,5.485259547699526,0.4852595580029684,5.3334120249067345,0.5855139834534135
5,jian_truck,proposed,4.9999999896965575,8.42560298605626,3.425602996359703,8.412835990882643,1.6045735643633587
10,la_normal,non_denoised,9.99999999460758,9.99999999460758,0.0,9.999999993032981,2.5552974082643906e-07
10,la_normal,wavelet,9.99999999460758,10.748594350833924,0.7485943562263451,10.549853025397521,0.8605165302785672
10,la_normal,proposed,9.99999999460758,12.552775977535566,2.5527759829279866,12.571577588447896,1.5646391548113023
10,la_truck,non_denoised,9.999999997534715,9.999999997534715,0.0,9.9999999981586,2.404604843400496e-07
10,la_truck,wavelet,9.999999997534715,10.094825014694312,0.09482501715959657,9.987386587546078,0.43534831420479003
10,la_truck,proposed,9.999999997534715,12.207818306039975,2.20781830850526,12.088084760953071,2.019626960268528
10,jian_normal,non_denoised,9.999999997165313,9.999999997165313,0.0,9.999999997050669,2.539156882610103e-07
10,jian_normal,wavelet,9.999999997165313,11.25985512890197,1.259855131736657,11.184257372887583,0.8819795151924826
10,jian_normal,proposed,9.999999997165313,11.978186836237128,1.9781868390718156,12.028419513644813,1.6115265202980442
10,jian_truck,non_denoised,10.000000002744045,10.000000002744045,0.0,10.000000002431122,2.4589649463004734e-07
10,jian_truck,wavelet,10.000000002744045,10.206639914272396,0.2066399115283506,10.104246712916387,0.5115395332644422
10,jian_truck,proposed,10.000000002744045,11.365334024268131,1.3653340215240863,11.371430185870793,1.581267952195312
15,la_normal,non_denoised,15.000000001149587,15.000000001149587,0.0,15.000000004409483,2.671809414149321e-07
15,la_normal,wavelet,15.000000001149587,15.1610025323834,0.16100253123381236,15.048068517385703,0.8317680700952892
15,la_normal,proposed,15.000000001149587,16.421561749100047,1.4215617479504594,16.486066342182056,1.185330612471967
15,la_truck,non_denoised,14.999999998383558,14.999999998383558,0.0,14.999999998165801,2.5657864969366864e-07
15,la_truck,wavelet,14.999999998383558,14.885124701732241,-0.11487529665131646,14.825842976299704,0.3938584532267774
15,la_truck,proposed,14.999999998383558,16.266500031064993,1.266500032681435,16.133845791680407,1.66352613711878
15,jian_normal,non_denoised,14.999999991269087,14.999999991269087,0.0,14.999999995095347,2.7914793328012436e-07
15,jian_normal,wavelet,14.999999991269087,15.391624379430846,0.39162438816175893,15.346079936113412,0.9400397346443075
15,jian_normal,proposed,14.999999991269087,15.73472723663761,0.7347272453685232,15.797843172805294,1.454170056256755
15,jian_truck,non_denoised,14.999999993326016,14.999999993326016,0.0,14.999999991094597,2.6098946117780006e-07
15,jian_truck,wavelet,14.999999993326016,14.741891798533787,-0.2581081947922286,14.759190352992713,0.5675986225283853
15,jian_truck,proposed,14.999999993326016,14.765317493534967,-0.23468249979104883,14.720525532380144,1.4614929431278805
