input_snr_db,noise_type,method,denoise_model_seed,denoise_model_mean_val_snr,classifier_seed,accuracy,jian_accuracy,la_accuracy,precision,recall,f1_score,balanced_accuracy,true_negative,false_positive,false_negative,true_positive,mean_input_snr,mean_output_snr,denoise_model_path,classifier_model_path
0,normal,noisy_directly_classified,7,6.459885107599179,42,0.8603366649132036,0.8107675906183369,0.9086188992731049,0.831353919239905,0.9086188992731049,0.8682709005209626,0.8596932449457209,3042,710,352,3500,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5
0,normal,noisy_directly_classified,7,6.459885107599179,66,0.877695949500263,0.804637526652452,0.9488577362409139,0.8329535095715588,0.9488577362409139,0.8871359223300971,0.8767476314466829,3019,733,197,3655,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5
0,normal,noisy_directly_classified,7,6.459885107599179,88,0.9088637559179379,0.8531449893390192,0.9631360332294912,0.870687632011265,0.9631360332294912,0.91458153580673,0.9081405112842551,3201,551,142,3710,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5
0,normal,noisy_directly_classified,7,6.459885107599179,100,0.87506575486586,0.8019722814498934,0.9462616822429907,0.8306745670009116,0.9462616822429907,0.8847087378640777,0.874116981846442,3009,743,207,3645,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed100.h5
0,normal,noisy_directly_classified,7,6.459885107599179,123,0.8602051551814834,0.8131663113006397,0.9060228452751817,0.8327368169887855,0.9060228452751817,0.8678353848066642,0.8595945782879106,3051,701,362,3490,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed123.h5
0,normal,noisy_directly_classified,7,6.459885107599179,256,0.8496843766438716,0.771588486140725,0.9257528556593977,0.8062401085236265,0.9257528556593977,0.8618731117824774,0.8486706709000613,2895,857,286,3566,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed256.h5
0,normal,noisy_directly_classified,7,6.459885107599179,512,0.867832719621252,0.792910447761194,0.940809968847352,0.8234492160872529,0.940809968847352,0.8782260996001454,0.866860208304273,2975,777,228,3624,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed512.h5
0,normal,noisy_directly_classified,7,6.459885107599179,2024,0.8876906891109942,0.8363539445628998,0.9376947040498442,0.8547089446284903,0.9376947040498442,0.8942807625649913,0.887024324306372,3138,614,240,3612,-6.811483656106115e-10,,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed2024.h5
0,truck,denoised_then_classified,7,6.459885107599179,7,0.9012361914781694,0.9682835820895522,0.8359293873312564,0.9643605870020965,0.8359293873312564,0.8955638993185927,0.9021064847104043,3633,119,632,3220,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed7.h5
0,truck,denoised_then_classified,7,6.459885107599179,19,0.9083377169910574,0.9698827292110874,0.8483904465212876,0.9665779355220349,0.8483904465212876,0.9036361122632379,0.9091365878661875,3639,113,584,3268,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed19.h5
0,truck,denoised_then_classified,7,6.459885107599179,42,0.8996580746975276,0.9728144989339019,0.8284008307372793,0.9690252049802611,0.8284008307372793,0.8932120363890833,0.9006076648355906,3650,102,661,3191,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed42.h5
0,truck,denoised_then_classified,7,6.459885107599179,66,0.9067596002104156,0.9685501066098081,0.8465732087227414,0.9650784255696951,0.8465732087227414,0.9019499377679435,0.9075616576662748,3634,118,591,3261,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed66.h5
0,truck,denoised_then_classified,7,6.459885107599179,88,0.9088637559179379,0.9656183368869936,0.8535825545171339,0.9622475856014048,0.8535825545171339,0.9046636401155592,0.9096004457020638,3623,129,564,3288,-2.938530493669821e-09,5.6069468322410145,D:\wangshuo\paper4_2\unet_7block_combined_models\unet_7block_combined_0dB_seed7.h5,D:\wangshuo\paper4_2\simple_mlp_classification_models\simple_mlp_classifier_seed88.h5
