input_snr_db,noise_type,classifier_seed,method,accuracy,threshold,denoise_model_seed
5,normal,100,non_denoised,0.9420309168443497,0.5,19
5,normal,100,wavelet,0.9361673773987207,0.5,19
5,normal,100,proposed,0.9692164179104478,0.5,19
5,truck,100,non_denoised,0.9281716417910447,0.5,19
5,truck,100,wavelet,0.9239072494669509,0.5,19
5,truck,100,proposed,0.9581556503198294,0.5,19
5,normal,256,non_denoised,0.9204424307036247,0.5,19
5,normal,256,wavelet,0.9099147121535182,0.5,19
5,normal,256,proposed,0.9602878464818764,0.5,19
5,truck,256,non_denoised,0.9291044776119403,0.5,19
5,truck,256,wavelet,0.9285714285714286,0.5,19
5,truck,256,proposed,0.955090618336887,0.5,19
5,normal,512,non_denoised,0.93363539445629,0.5,19
5,normal,512,wavelet,0.9253731343283582,0.5,19
5,normal,512,proposed,0.962953091684435,0.5,19
5,truck,512,non_denoised,0.9333688699360341,0.5,19
5,truck,512,wavelet,0.9275053304904051,0.5,19
5,truck,512,proposed,0.9554904051172708,0.5,19
10,normal,42,non_denoised,0.9597547974413646,0.5,66
10,normal,42,wavelet,0.956956289978678,0.5,66
10,normal,42,proposed,0.9640191897654584,0.5,66
10,truck,42,non_denoised,0.962819829424307,0.5,66
10,truck,42,wavelet,0.9614872068230277,0.5,66
10,truck,42,proposed,0.9650852878464818,0.5,66
10,normal,123,non_denoised,0.954957356076759,0.5,66
10,normal,123,wavelet,0.9477611940298507,0.5,66
10,normal,123,proposed,0.9605543710021321,0.5,66
10,truck,123,non_denoised,0.9586886993603412,0.5,66
10,truck,123,wavelet,0.9582889125799574,0.5,66
10,truck,123,proposed,0.9592217484008528,0.5,66
10,normal,2024,non_denoised,0.9638859275053305,0.5,66
10,normal,2024,wavelet,0.9578891257995735,0.5,66
10,normal,2024,proposed,0.9642857142857143,0.5,66
10,truck,2024,non_denoised,0.9644189765458422,0.5,66
10,truck,2024,wavelet,0.962819829424307,0.5,66
10,truck,2024,proposed,0.9625533049040512,0.5,66
10,normal,7,non_denoised,0.9588219616204691,0.5,66
10,normal,7,wavelet,0.9553571428571429,0.5,66
10,normal,7,proposed,0.9610874200426439,0.5,66
10,truck,7,non_denoised,0.9645522388059702,0.5,66
10,truck,7,wavelet,0.9624200426439232,0.5,66
10,truck,7,proposed,0.9634861407249466,0.5,66
10,normal,19,non_denoised,0.9678837953091685,0.5,66
10,normal,19,wavelet,0.9656183368869936,0.5,66
10,normal,19,proposed,0.9669509594882729,0.5,66
10,truck,19,non_denoised,0.964952025586354,0.5,66
10,truck,19,wavelet,0.9636194029850746,0.5,66
10,truck,19,proposed,0.9665511727078892,0.5,66
10,normal,66,non_denoised,0.9702825159914712,0.5,66
10,normal,66,wavelet,0.9673507462686567,0.5,66
10,normal,66,proposed,0.9709488272921108,0.5,66
10,truck,66,non_denoised,0.9696162046908315,0.5,66
10,truck,66,wavelet,0.9681503198294243,0.5,66
10,truck,66,proposed,0.970682302771855,0.5,66
10,normal,88,non_denoised,0.9665511727078892,0.5,66
10,normal,88,wavelet,0.9594882729211087,0.5,66
10,normal,88,proposed,0.9610874200426439,0.5,66
10,truck,88,non_denoised,0.9620202558635395,0.5,66
10,truck,88,wavelet,0.9592217484008528,0.5,66
10,truck,88,proposed,0.9622867803837953,0.5,66
10,normal,100,non_denoised,0.9677505330490405,0.5,66
10,normal,100,wavelet,0.9636194029850746,0.5,66
10,normal,100,proposed,0.9681503198294243,0.5,66
10,truck,100,non_denoised,0.9653518123667377,0.5,66
10,truck,100,wavelet,0.9633528784648188,0.5,66
10,truck,100,proposed,0.9676172707889126,0.5,66
10,normal,256,non_denoised,0.9562899786780383,0.5,66
10,normal,256,wavelet,0.9544243070362474,0.5,66
10,normal,256,proposed,0.9612206823027718,0.5,66
10,truck,256,non_denoised,0.9618869936034116,0.5,66
10,truck,256,wavelet,0.9594882729211087,0.5,66
10,truck,256,proposed,0.9624200426439232,0.5,66
10,normal,512,non_denoised,0.9612206823027718,0.5,66
10,normal,512,wavelet,0.9568230277185501,0.5,66
10,normal,512,proposed,0.9625533049040512,0.5,66
10,truck,512,non_denoised,0.9630863539445629,0.5,66
10,truck,512,wavelet,0.9600213219616205,0.5,66
10,truck,512,proposed,0.9618869936034116,0.5,66
15,normal,42,non_denoised,0.976545842217484,0.5,512
15,normal,42,wavelet,0.974546908315565,0.5,512
15,normal,42,proposed,0.9714818763326226,0.5,512
15,truck,42,non_denoised,0.9772121535181236,0.5,512
15,truck,42,wavelet,0.974680170575693,0.5,512
15,truck,42,proposed,0.9744136460554371,0.5,512
15,normal,123,non_denoised,0.9685501066098081,0.5,512
15,normal,123,wavelet,0.9658848614072495,0.5,512
15,normal,123,proposed,0.9664179104477612,0.5,512
15,truck,123,non_denoised,0.9714818763326226,0.5,512
15,truck,123,wavelet,0.9694829424307037,0.5,512
15,truck,123,proposed,0.9702825159914712,0.5,512
15,normal,2024,non_denoised,0.9710820895522388,0.5,512
15,normal,2024,wavelet,0.9678837953091685,0.5,512
15,normal,2024,proposed,0.9669509594882729,0.5,512
15,truck,2024,non_denoised,0.9718816631130064,0.5,512
15,truck,2024,wavelet,0.9704157782515992,0.5,512
15,truck,2024,proposed,0.9714818763326226,0.5,512
15,normal,7,non_denoised,0.9740138592750534,0.5,512
15,normal,7,wavelet,0.9709488272921108,0.5,512
15,normal,7,proposed,0.9696162046908315,0.5,512
15,truck,7,non_denoised,0.9741471215351812,0.5,512
15,truck,7,wavelet,0.9724147121535182,0.5,512
15,truck,7,proposed,0.9714818763326226,0.5,512
15,normal,19,non_denoised,0.9758795309168443,0.5,512
15,normal,19,wavelet,0.9744136460554371,0.5,512
15,normal,19,proposed,0.9721481876332623,0.5,512
15,truck,19,non_denoised,0.974546908315565,0.5,512
15,truck,19,wavelet,0.974546908315565,0.5,512
15,truck,19,proposed,0.9741471215351812,0.5,512
15,normal,66,non_denoised,0.9790778251599147,0.5,512
15,normal,66,wavelet,0.9793443496801706,0.5,512
15,normal,66,proposed,0.9774786780383795,0.5,512
15,truck,66,non_denoised,0.9788113006396588,0.5,512
15,truck,66,wavelet,0.9777452025586354,0.5,512
15,truck,66,proposed,0.9774786780383795,0.5,512
15,normal,88,non_denoised,0.9737473347547975,0.5,512
15,normal,88,wavelet,0.9700159914712153,0.5,512
15,normal,88,proposed,0.9684168443496801,0.5,512
15,truck,88,non_denoised,0.9709488272921108,0.5,512
15,truck,88,wavelet,0.9689498933901919,0.5,512
15,truck,88,proposed,0.9681503198294243,0.5,512
15,normal,100,non_denoised,0.9802771855010661,0.5,512
